order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD475484,ID0247012040,2019-10-27,Nickolson,"[('Alcon 10', 2), ('iAssist Line', 2), ('iStream', 1)]",22500,86.17,-37.8116355,144.96824099999995,15,19211.17,Spring,True,0.7832,one star i will not recommend as a phone for sale,0.0
ORD262037,ID4735922450,2019-05-25,Thompson,"[('Universe Note', 2), ('Olivia x460', 1)]",8125,67.7,-37.805583,144.9490278,5,7786.45,Autumn,False,0.8078,five stars excellent cell phone.,1.0
ORD363197,ID0579970448,2019-02-23,Thompson,"[('iAssist Line', 2), ('Alcon 10', 2), ('Thunder line', 1), ('Lucent 330S', 1)]",25760,65.65,-37.811595000000004,144.9456969,10,23249.65,Summer,False,0.1702,awesome product! this product was as described in perfect condition and works perfectly.,1.0
ORD284518,ID1327098191,2019-03-19,Nickolson,"[('Universe Note', 1), ('iStream', 1), ('Thunder line', 2)]",7960,80.04,-37.8139393,144.96540019999995,15,6846.04,Autumn,True,0.6339,just like new!! it arrived on time and had absolutely no scratches! it was just like new!,1.0
ORD417270,ID0628174986,2019-03-13,Thompson,"[('Lucent 330S', 2), ('pearTV', 1)]",8770,75.45,-37.812421,144.9478957,15,7529.95,Autumn,True,0.0779,nice for the price the accessories are not original but the phone works great!,1.0
ORD051813,ID3132496573,2019-07-16,Nickolson,"[('Alcon 10', 2), ('iStream', 1)]",18050,48.45,-37.815015,144.96429840000005,0,18098.45,Winter,False,0.6101,i am terribly dissatisfied because i love the phone the charging port is completely defective and there is no way to exchange the product. i just essentially have to be without a phone now for days again because i was sent a defective phone. i am terribly dissatisfied because i love the phone.,0.0
ORD422520,ID0767724093,2019-07-01,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 2), ('Thunder line', 2), ('iAssist Line', 2)]",14720,53.52,-37.8046315,144.97239960000005,10,13301.52,Winter,False,1.5744,dead in 2 months!!! i bought this phone for my mom and she really loved it until the phone didn't turn on or receive charge. it's dead within 2 months and apparently i can't get a return or replacement because the window is only 30 days. money has gone down the drain.,0.0
ORD482956,ID0711333587,2019-03-06,Thompson,"[('iStream', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",7060,79.35,-37.80614170000001,144.95612409999995,25,5374.35,Autumn,True,1.0783,i like it,1.0
ORD086021,ID6167489476,2019-11-14,Nickolson,"[('Alcon 10', 2), ('pearTV', 1), ('Toshika 750', 1), ('Universe Note', 2)]",35430,62.2,-37.8168667,144.9613975,0,35492.2,Spring,False,0.7424,within a week had to return phone had to return phone was shutting down.,0.0
ORD430237,ID0242532862,2019-06-17,Nickolson,"[('Olivia x460', 1), ('pearTV', 2)]",13845,73.18,-37.7992027,144.97291140000004,25,10456.93,Winter,False,2.1788,excellent the best shop ever!!!! beautiful phone,1.0
ORD209327,ID0310727773,2019-03-07,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 2), ('iAssist Line', 2), ('Toshika 750', 1)]",27530,65.01,-37.8105489,144.93584840000003,25,20712.51,Autumn,True,1.0147,one star it didn't come with a sim card. cannot operate the phone???,0.0
ORD390241,ID0655124690,2019-07-22,Thompson,"[('Olivia x460', 2), ('Alcon 10', 2)]",20350,65.94,-37.806744200000004,144.94141489999996,0,20415.94,Winter,False,0.8263,these two boys were thrilled with the inferno tablet. every time i see them they are glued to the tablet. they both have said it is the best present ever. extra points to the grandfather on these gifts!,1.0
ORD490942,ID4520380525,2019-09-15,Thompson,"[('iAssist Line', 1), ('iStream', 1), ('Candle Inferno', 1), ('Toshika 750', 1)]",7125,87.03,-37.8137533,144.95732959999995,5,6855.78,Spring,True,0.9103,not happy voice was not good i didn't liked the phone,0.0
ORD222838,ID4550695827,2019-05-28,Bakers,"[('Toshika 750', 1), ('iAssist Line', 2), ('Candle Inferno', 1)]",9200,78.79,-37.80238320000001,144.9885101,0,9278.79,Autumn,True,1.0333,good quality price too high,1.0
ORD442053,ID0248969199,2019-04-13,Bakers,"[('iStream', 2), ('Candle Inferno', 2)]",1160,63.77,-37.8046779,144.9920917,5,1165.77,Autumn,False,0.6533,four stars awesome phone and works great,1.0
ORD028264,ID0457365602,2019-11-03,Nickolson,"[('pearTV', 1), ('iStream', 1), ('Olivia x460', 1), ('Alcon 10', 1)]",16635,72.31,-37.82026060000001,144.96954430000005,0,16707.31,Spring,False,0.1854,okay product and i highly recommend it battery could be better and the screen is okay.,1.0
ORD184092,ID0092149924,2019-05-10,Thompson,"[('Toshika 750', 1), ('pearTV', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",17540,79.89,-37.8229551,144.9547273,5,16742.89,Autumn,True,1.328,great phone watch the digitizer. digitizer broke first week.great phone other than that.,1.0
ORD379688,ID1594632456,2019-12-22,Nickolson,"[('Thunder line', 1), ('Alcon 10', 1)]",11130,92.59,-37.82036160000001,144.979064,25,8440.09,Summer,True,0.8593,great phone the phone is very user friendly and lightweight. all you would expect from a olivia phone at a good price. ⁰,1.0
ORD007538,ID6167357860,2019-11-07,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 2)]",5680,78.14,-37.811398499999996,144.97288989999996,25,4338.14,Spring,False,0.8532,"four stars nice, thank you !",1.0
ORD227416,ID0844489437,2019-04-27,Thompson,"[('iAssist Line', 2), ('Alcon 10', 1)]",13400,79.11,-37.8207561,144.94847180000005,15,11469.11,Autumn,True,0.9082,trusted seller good seller and going product,1.0
ORD321844,ID1594632468,2019-05-07,Nickolson,"[('Toshika 750', 1), ('pearTV', 2), ('iAssist Line', 1), ('Alcon 10', 2)]",37065,65.25,-37.8201847,144.978879,5,35277.0,Autumn,False,0.8391,no tuve dificultadea todo genial s9 genial,1.0
ORD102415,ID4952477275,2019-10-10,Thompson,"[('pearTV', 2), ('iStream', 2)]",12920,85.7,-37.809754299999994,144.9550397,5,12359.7,Spring,True,0.7726,fragile making the entrie phone out of glass seems like a colossal failure to put functionality before form. first time i have ever had to deal with shattering the *back* of my phone.,0.0
ORD456604,ID0580161464,2019-05-31,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Alcon 10', 2)]",28660,85.77,-37.7891185,144.9380617,10,25879.77,Autumn,True,2.7391,follow up: i have had this for a month now and would like to follow up on the first review. now that i have learned more about olivia it is a good phone. it is different then my lucent. i would recommend this phone and the seller. i think i said that in my first review. very pleased.,1.0
