order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD400606,ID0417273420,2019-04-17,Bakers,"[('iAssist Line', 1), ('Alcon 10', 1)]",11175,78.05,-37.8172158,144.9887299,15,9576.8,Autumn,1,0.9863,great for the money. beautiful condition.,1
ORD498360,ID1492350741,2019-06-30,Thompson,"[('iStream', 2), ('Universe Note', 1)]",3750,72.89,-37.802700099999996,144.9636274,25,2885.39,Winter,1,1.8312,five stars really??? is new no used is amazing,1
ORD498575,ID0294621530,2019-01-14,Nickolson,"[('iAssist Line', 2), ('Thunder line', 2), ('Lucent 330S', 1)]",10040,69.03,-37.8192344,144.96260619999995,10,9105.03,Summer,1,0.6148,i love the note product it makes my life easier very please with my purchase considering that the note 5 is on back order with olivia and i had to give my note 7 back. i love the note product it makes my life easier!!,1
ORD357404,ID0679680975,2019-12-30,Bakers,"[('Olivia x460', 2), ('Thunder line', 2), ('Alcon 10', 2), ('Lucent 330S', 2)]",27170,103.24,-37.7994977,144.9786814,10,24556.24,Summer,1,1.8667,"exactly as described. great phone , looks like new.",1
ORD369513,ID2247180695,2019-09-20,Thompson,"[('iAssist Line', 2), ('Olivia x460', 2), ('Lucent 330S', 1), ('Candle Inferno', 1)]",8560,78.3,-37.8187086,144.9552773,5,8210.3,Spring,1,0.9861,"it's a good buy had it about two months, no battery issues and it works great! very happy so far",1
ORD438828,ID0560984940,2019-07-31,Thompson,"[('pearTV', 2), ('iAssist Line', 1)]",14845,74.82,-37.8182245,144.94780459999996,5,14177.57,Winter,1,0.6213,"mom likes this allot, once she started using it. she was hesitant at first because it's something new! but that didn't last long.",1
ORD390035,ID0634783440,2019-12-14,Thompson,"[('Toshika 750', 1), ('Thunder line', 1), ('Alcon 10', 1)]",15450,91.89,-37.8127253,144.9383965,10,13996.89,Summer,1,0.7627,the unit works exactly as described. a very good buy.,1
ORD112996,ID4655129044,2019-02-02,Thompson,"[('Thunder line', 1), ('Candle Inferno', 1), ('Olivia x460', 1), ('Alcon 10', 1)]",12785,73.92,-37.809097200000004,144.94792869999995,5,12219.67,Summer,1,0.4052,"no headphones this is 2nd phone i purchased this week, this was missing headphones. you would think this would be in as default. paid same price for both phones but this one no headphone. disappointed",1
ORD186190,ID2462381376,2019-07-02,Thompson,"[('Toshika 750', 1), ('Universe Note', 1), ('Lucent 330S', 1)]",9000,68.95,-37.799587,144.96340880000002,10,8168.95,Winter,1,2.0463,not receiving calls i purchased the phone in may and now when someone calls me i am unable to answer as the screen goes blank and i just have to wait for the call to ring out and then view my missed calls to see who was calling me. other than this the phone was okay,1
ORD466714,ID0846567074,2019-01-02,Nickolson,"[('iStream', 2), ('Lucent 330S', 1)]",1530,68.86,-37.820241700000004,144.9687,5,1522.36,Summer,1,0.198,good deal so far so good. i've been noticing lag with chrome lately. cache and history is clear. perhaps it's the phone?,1
ORD051160,ID3555788038,2019-05-09,Thompson,"[('Alcon 10', 2), ('pearTV', 1)]",24210,65.87,-37.8074228,144.9402455,25,18223.37,Autumn,1,0.8377,my husband and i have totally enjoyed owning these digico inferno tablets. they are so much easier on the eyes than our alcons!,1
ORD181681,ID0838386042,2019-04-01,Thompson,"[('Toshika 750', 1), ('Universe Note', 1)]",7770,67.1,-37.802826,144.9479941,15,6671.6,Autumn,1,1.0992,way to go lucent 💯!!! i love this product although i cracked the front of it for it fixed and it's all good. i ordered the protective cover but it arrived too late . still would purchase this product again.,1
ORD059054,ID2190483584,2019-07-25,Thompson,"[('iAssist Line', 1), ('Lucent 330S', 1)]",3455,67.26,-37.809257,144.9607912,0,3522.26,Winter,1,1.2653,good phone. my customer said she likes it a ... good phone. my customer said she likes it a lot. did not come with headset and the camera did not come with flash. but a good phone regardless.,1
ORD386886,ID6167191174,2019-11-26,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 2)]",6770,103.75,-37.8175175,144.95917680000005,0,6873.75,Spring,1,0.9201,"it talks to me, plays the type of music i want to listen to, and even turns off when i ask if to.",1
ORD113267,ID0242400163,2019-11-17,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Toshika 750', 1)]",7775,115.35,-37.823825299999996,144.922415,5,7501.6,Spring,1,2.4982,four stars it was a gift but i get good reports!,1
ORD123523,ID2239389739,2019-04-18,Bakers,"[('Alcon 10', 1), ('Candle Inferno', 1), ('iStream', 2), ('Toshika 750', 1)]",14000,65.58,-37.814929799999994,144.9998555,25,10565.58,Autumn,1,0.6833,came fast! came with 3 free months svc!! yaya,1
ORD323970,ID4283908138,2019-09-07,Nickolson,"[('Lucent 330S', 1), ('Olivia x460', 1), ('iAssist Line', 2)]",6905,79.71,-37.8094755,144.9756474,15,5948.96,Spring,1,1.148,"best value for money! we have the phone for a month. the phone is large but not too large, it is slim and light. the screen has a crisp color quality to it, the sound quality is excellent, the battery is small but lives through the day. excellent quality and best bung for the buck ever!",1
ORD152895,ID4061053436,2019-01-10,Bakers,"[('Lucent 330S', 2), ('Olivia x460', 1)]",3685,68.01,-37.8096666,144.9926783,5,3568.76,Summer,1,0.2276,"five stars very happy with this purchase. saved a considerable amount buying through digico. great price, great condition.",1
ORD059401,ID1985546061,2019-02-10,Nickolson,"[('iStream', 2), ('pearTV', 2), ('Candle Inferno', 1)]",13350,66.88,-37.8033228,144.9650493,10,12081.88,Summer,1,1.7455,"do not buy, fraud, phone not unlocked bought the phone for my cousin in belize and it's not unlocked. worste thing they fail to unlock the phone",1
ORD133500,ID0266262714,2019-07-22,Nickolson,"[('iAssist Line', 1), ('Alcon 10', 2), ('Universe Note', 2)]",27025,80.56,-37.821032,144.98419230000005,5,25754.31,Winter,1,1.3157,good good,1
ORD494208,ID3106293372,2019-02-01,Thompson,"[('iAssist Line', 2), ('Universe Note', 2), ('Alcon 10', 2), ('Candle Inferno', 2)]",30110,80.55,-37.80658320000001,144.9324858,10,27179.55,Summer,1,1.4507,five stars one of the best phones ever and highest customer service that i have received. thank you!,1
ORD037955,ID0282854639,2019-01-16,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 2), ('pearTV', 1), ('Alcon 10', 2)]",27520,108.28,-37.8007556,145.01867190000004,25,20748.28,Summer,1,2.3039,great performance for the price. fingerprint works just fine for me. it's a great phone for the price.,1
ORD227821,ID0746912863,2019-07-16,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Universe Note', 1)]",9000,54.01,-37.8248747,144.9848906,0,9054.01,Winter,1,1.5192,"sorry no sims card with phone.l also don,t believe it is a 2018 phone. can't get a bright screen. very unhappy with phone.",1
ORD336364,ID1132069612,2019-11-08,Thompson,"[('Lucent 330S', 2), ('Alcon 10', 2), ('Universe Note', 2), ('Toshika 750', 2)]",35900,71.43,-37.8128094,144.9431875,5,34176.43,Spring,1,0.3417,thanks,1
ORD376803,ID6167229079,2019-11-26,Thompson,"[('Toshika 750', 1), ('Candle Inferno', 2), ('Lucent 330S', 1)]",6410,90.96,-37.821101299999995,144.95527090000004,25,4898.46,Spring,1,1.1834,desbloqueo falso la traducción en español manifiesta gsm desbloqueado y resulta q tiene bloqueo estoy fuera de estados unidos y no puedo devolver digico no me da solución,1
ORD351287,ID0331163565,2019-10-24,Nickolson,"[('Olivia x460', 2), ('iStream', 1)]",2600,85.79,-37.7999599,144.968097,25,2035.79,Spring,1,2.0783,"five stars excellent love , love, love",1
ORD495703,ID0709966972,2019-10-11,Thompson,"[('Candle Inferno', 1), ('iAssist Line', 2)]",4880,88.6,-37.8142217,144.9370471,0,4968.6,Spring,1,0.898,"stop working properly i got this phone over a month ago, and it stop working properly, like i stop receiving calls, or it doesn't show any missing calls from my contacts. how can i send it back or been replaced /refund. i really need a phone!",1
ORD174881,ID3394653902,2019-11-20,Thompson,"[('Thunder line', 2), ('Olivia x460', 2), ('Lucent 330S', 2)]",9270,78.63,-37.8201205,144.9400868,15,7958.13,Spring,1,1.0316,perfect perfect,1
