order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD054682,ID0136507806,2019-03-11,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 2)]",6900,65.51,-37.8180833,144.9614655,15,5930.51,Autumn,False,0.7133,**positive review** good buy great price and my favorite no surprises. mad props to the seller! good s***,True
ORD248833,ID5563404258,2019-07-15,Bakers,"[('iStream', 2), ('Candle Inferno', 1)]",730,81.66,-37.8166816,145.0089196,25,629.16,Winter,True,1.4152,best phone i ever had too bad they didn't take ... best phone i ever had too bad they didn't take the functions over to the next models it did support a 64 gb sd card,True
ORD337081,ID2481930364,2019-04-17,Bakers,"[('iAssist Line', 1), ('Universe Note', 2), ('Thunder line', 1)]",11305,66.99,-37.80551060000001,144.9986564,15,9676.24,Autumn,False,0.5831,"fantastic product, absolutely love it!",True
ORD372831,ID1479930098,2019-11-27,Thompson,"[('Alcon 10', 2), ('Thunder line', 2)]",22260,79.75,-37.820680100000004,144.95592480000005,10,20113.75,Spring,False,1.1836,"pretty satisfied, still checking out all the cool features great since i was upgrading from an alcon 4....funny how it came with spanish and the default setting. had to navigate through the spanish to change it back to english",True
ORD355762,ID5002595113,2019-01-31,Thompson,"[('Olivia x460', 2), ('Universe Note', 1), ('Lucent 330S', 2)]",8360,89.51,-37.8120674,144.953418,25,6359.51,Summer,True,0.5624,five stars the best one in the store,True
ORD444886,ID0709970607,2019-08-14,Thompson,"[('Universe Note', 2), ('iStream', 2)]",7200,80.61,-37.815354299999996,144.9355892,5,6920.61,Winter,True,1.0527,five stars this phone is amazing for the price it's crazy showed up on time works perfect super strong,True
ORD044449,ID0581760585,2019-09-02,Thompson,"[('Universe Note', 1), ('Alcon 10', 2)]",21350,111.07,-37.8043734,144.92863640000004,10,19326.07,Spring,True,1.8659,thanks i love my ohone and i am getting a case for it but i didnt get my free gift,True
ORD244600,ID0588236713,2019-04-29,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 1), ('Alcon 10', 1), ('Olivia x460', 2)]",16950,79.46,-37.8111532,144.97339240000005,0,17029.46,Autumn,True,0.8946,easy to use. perfect for using for my clinicals in nursing school,True
ORD485664,ID0581784158,2019-07-18,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Lucent 330S', 1), ('iStream', 2)]",12290,63.78,-37.8077414,144.9397185,25,9281.28,Winter,False,0.8481,i picked this tablet up for a 5 year old grandchild as a way to learn how to use a tablet works fine .,True
ORD130829,ID0577456447,2019-04-17,Bakers,"[('iStream', 2), ('iAssist Line', 1), ('Alcon 10', 1), ('Lucent 330S', 2)]",13935,83.18,-37.8231775,144.9884654,15,11927.93,Autumn,True,1.5834,perfect phone for travel perfect for a basic phone and actually more,True
ORD023300,ID4360100213,2019-04-10,Bakers,"[('Thunder line', 2), ('pearTV', 2), ('Universe Note', 2)]",23880,49.47,-37.814367499999996,144.9999414,25,17959.47,Autumn,False,0.639,trash horrible. will not connect to network and keeps saying needs to system update evennafter updating it. cant even use it,False
ORD105138,ID4423038317,2019-06-05,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 1)]",1660,63.4,-37.8233265,144.960753,0,1723.4,Winter,False,0.9359,love my note 3 fast and tons of memory. this came with 32gb (compared with the 512mb of my old epic 4g) and a slot for another micrsd card. i added my old 32gb one. reserve several days to learn all the functions of this feature rich smartphone.,True
ORD230355,ID3216954879,2019-09-30,Bakers,"[('Olivia x460', 1), ('Universe Note', 1), ('iAssist Line', 1)]",6900,85.47,-37.8064405,144.987244,10,6295.47,Spring,True,0.8064,no good bad for me,False
ORD050941,ID6206878685,2019-07-21,Nickolson,"[('Olivia x460', 1), ('Universe Note', 2), ('iStream', 2), ('Alcon 10', 2)]",26325,79.15,-37.824845,144.9576466,5,25087.9,Winter,True,1.2569,first experience with a tablet for my husband who likes it and uses it all the time. we like it.,True
